nodeId,sampleTime,corrosionPotential,tideLevel
C04,2026-03-17 10:00:00,-730.3,163.2
A01,2026-03-20 10:00:00,-688.5,77.2
A02,2026-03-20 10:00:00,-708.7,128.2
A03,2026-03-20 10:00:00,-677.4,160.3
A04,2026-03-20 10:00:00,-727.4,177.9
B01,2026-03-20 10:00:00,-664.6,172.1
B02,2026-03-20 10:00:00,-695.5,114.9
B03,2026-03-20 10:00:00,-713,104.8
B04,2026-03-20 10:00:00,-742.5,38.9
C01,2026-03-20 10:00:00,-683.7,90.7
C02,2026-03-20 10:00:00,-701.5,84.9
C03,2026-03-20 10:00:00,-719.5,175.1
C04,2026-03-20 10:00:00,-735.6,151.2
A01,2026-03-23 10:00:00,-690.6,82.1
A02,2026-03-23 10:00:00,-712.1,173.3
A03,2026-03-23 10:00:00,-678.7,146.9
A04,2026-03-23 10:00:00,-733,204.1
B01,2026-03-23 10:00:00,-667,114.5
B02,2026-03-23 10:00:00,-697.3,128.7
B03,2026-03-23 10:00:00,-717.9,40.6
B04,2026-03-23 10:00:00,-746.5,86.5
C01,2026-03-23 10:00:00,-685.1,68.9
C02,2026-03-23 10:00:00,-706.1,149.1
C03,2026-03-23 10:00:00,-726,149.8
C04,2026-03-23 10:00:00,-738.2,196.4
A01,2026-03-26 10:00:00,-695.5,148.1
A02,2026-03-26 10:00:00,-715.5,156.3
A03,2026-03-26 10:00:00,-681.8,189.2
A04,2026-03-26 10:00:00,-736.2,150.5
B01,2026-03-26 10:00:00,-670,119.9
B02,2026-03-26 10:00:00,-702.3,71.9
B03,2026-03-26 10:00:00,-720.7,55.2
B04,2026-03-26 10:00:00,-752,78.5
C01,2026-03-26 10:00:00,-687.1,106.6
C02,2026-03-26 10:00:00,-709.1,169.4
C03,2026-03-26 10:00:00,-728.3,160
C04,2026-03-26 10:00:00,-744.6,192.2
A01,2026-03-29 10:00:00,-696.4,170.4
A02,2026-03-29 10:00:00,-719.7,156.2
A03,2026-03-29 10:00:00,-682.6,193.5
A04,2026-03-29 10:00:00,-741,109.3
B01,2026-03-29 10:00:00,-671.3,124.2
B02,2026-03-29 10:00:00,-705.1,33
B03,2026-03-29 10:00:00,-724.4,94.9
B04,2026-03-29 10:00:00,-758.1,62.6
C01,2026-03-29 10:00:00,-690.4,167.1
C02,2026-03-29 10:00:00,-710.8,144.8
C03,2026-03-29 10:00:00,-733.7,200.4
C04,2026-03-29 10:00:00,-749.8,130.2
A01,2026-04-01 10:00:00,-700.5,149.4
A02,2026-04-01 10:00:00,-723.3,199.9
A03,2026-04-01 10:00:00,-685.6,132.3
A04,2026-04-01 10:00:00,-745.6,132
B01,2026-04-01 10:00:00,-671.6,55
B02,2026-04-01 10:00:00,-707.2,70.6
B03,2026-04-01 10:00:00,-724.9,66.5
B04,2026-04-01 10:00:00,-763.9,124.1
C01,2026-04-01 10:00:00,-691.5,162.2
C02,2026-04-01 10:00:00,-714,172.6
C03,2026-04-01 10:00:00,-735.6,172.7
C04,2026-04-01 10:00:00,-752.8,112.8
A01,2026-04-04 10:00:00,-701.5,174.2
A02,2026-04-04 10:00:00,-726.3,174.5
A03,2026-04-04 10:00:00,-686,118.4
A04,2026-04-04 10:00:00,-751.9,97.9
B01,2026-04-04 10:00:00,-672.2,45.2
B02,2026-04-04 10:00:00,-708.2,94.1
B03,2026-04-04 10:00:00,-728.6,80.5
B04,2026-04-04 10:00:00,-767.7,171.1
C01,2026-04-04 10:00:00,-694.9,149.1
C02,2026-04-04 10:00:00,-718.3,205.6
C03,2026-04-04 10:00:00,-741.3,112.5
C04,2026-04-04 10:00:00,-758.8,131
A01,2026-04-07 10:00:00,-703.3,200.9
A02,2026-04-07 10:00:00,-730.7,117.6
A03,2026-04-07 10:00:00,-687.7,132.8
A04,2026-04-07 10:00:00,-754.1,42.3
B01,2026-04-07 10:00:00,-675.5,86.3
B02,2026-04-07 10:00:00,-711.8,61.5
B03,2026-04-07 10:00:00,-733.4,150
B04,2026-04-07 10:00:00,-773,150.1
C01,2026-04-07 10:00:00,-695.1,196.5
C02,2026-04-07 10:00:00,-719.8,150
C03,2026-04-07 10:00:00,-745.2,120.3
C04,2026-04-07 10:00:00,-762.4,77.6
A01,2026-04-10 10:00:00,-705.2,148.2
A02,2026-04-10 10:00:00,-735.7,118.6
A03,2026-04-10 10:00:00,-688.8,78.1
A04,2026-04-10 10:00:00,-759.9,56.5
B01,2026-04-10 10:00:00,-676.4,83.7
B02,2026-04-10 10:00:00,-715.6,100.2
B03,2026-04-10 10:00:00,-736.8,170.3
B04,2026-04-10 10:00:00,-780.6,161.9
C01,2026-04-10 10:00:00,-697.8,190.9
C02,2026-04-10 10:00:00,-722.3,105.9
C03,2026-04-10 10:00:00,-748.7,113.2
C04,2026-04-10 10:00:00,-769,38.9
A01,2026-04-13 10:00:00,-707.4,106.7
A02,2026-04-13 10:00:00,-739.1,122.8
A03,2026-04-13 10:00:00,-690.9,32.4
A04,2026-04-13 10:00:00,-763.3,95
B01,2026-04-13 10:00:00,-676.6,70.9
B02,2026-04-13 10:00:00,-717.2,170.7
B03,2026-04-13 10:00:00,-739.5,148.4
B04,2026-04-13 10:00:00,-785.5,207
C01,2026-04-13 10:00:00,-699.6,126.7
C02,2026-04-13 10:00:00,-725.2,129.6
C03,2026-04-13 10:00:00,-750.4,52.1
C04,2026-04-13 10:00:00,-772.9,78.9
A01,2026-04-16 10:00:00,-712.1,128.4
A02,2026-04-16 10:00:00,-741.4,52.6
A03,2026-04-16 10:00:00,-693.4,72.3
A04,2026-04-16 10:00:00,-769,72.1
B01,2026-04-16 10:00:00,-678.7,133.4
B02,2026-04-16 10:00:00,-720.7,164.5
B03,2026-04-16 10:00:00,-742.4,181.4
B04,2026-04-16 10:00:00,-789,173.5
C01,2026-04-16 10:00:00,-701.2,109.9
C02,2026-04-16 10:00:00,-729.6,102.7
C03,2026-04-16 10:00:00,-756.8,47.1
C04,2026-04-16 10:00:00,-777.8,89.5
A01,2026-04-19 10:00:00,-712.2,102.9
A02,2026-04-19 10:00:00,-745,41.6
A03,2026-04-19 10:00:00,-693.7,92.3
A04,2026-04-19 10:00:00,-774.1,78.1
B01,2026-04-19 10:00:00,-681.7,171.5
B02,2026-04-19 10:00:00,-722.2,150.4
B03,2026-04-19 10:00:00,-745.3,208.8
B04,2026-04-19 10:00:00,-797,112.3
C01,2026-04-19 10:00:00,-704.3,128.5
C02,2026-04-19 10:00:00,-731.1,35.1
C03,2026-04-19 10:00:00,-759.1,87.6
C04,2026-04-19 10:00:00,-782.5,62.7
A01,2026-04-22 10:00:00,-714.8,42.1
A02,2026-04-22 10:00:00,-748.4,91.3
A03,2026-04-22 10:00:00,-697,68.7
A04,2026-04-22 10:00:00,-778.3,157.7
B01,2026-04-22 10:00:00,-683.8,152
B02,2026-04-22 10:00:00,-724.9,196.9
B03,2026-04-22 10:00:00,-750.7,146.1
B04,2026-04-22 10:00:00,-801.1,127.3
C01,2026-04-22 10:00:00,-705.6,70.3
C02,2026-04-22 10:00:00,-733.5,56.3
C03,2026-04-22 10:00:00,-762.5,78.7
C04,2026-04-22 10:00:00,-785.5,101.6
A01,2026-04-25 10:00:00,-718.4,52.8
A02,2026-04-25 10:00:00,-752.6,81.6
A03,2026-04-25 10:00:00,-698.2,106.8
A04,2026-04-25 10:00:00,-781.2,172
B01,2026-04-25 10:00:00,-682.7,157.8
B02,2026-04-25 10:00:00,-729.6,192.3
B03,2026-04-25 10:00:00,-752.9,110.4
B04,2026-04-25 10:00:00,-805.6,118
C01,2026-04-25 10:00:00,-707.3,32.4
C02,2026-04-25 10:00:00,-738.6,96.4
C03,2026-04-25 10:00:00,-766.6,66.2
C04,2026-04-25 10:00:00,-792.3,169.9
A01,2026-04-28 10:00:00,-719.4,92.2
A02,2026-04-28 10:00:00,-755.1,64.2
A03,2026-04-28 10:00:00,-700,170.3
A04,2026-04-28 10:00:00,-785.5,141
B01,2026-04-28 10:00:00,-684.9,201
B02,2026-04-28 10:00:00,-731.9,130
B03,2026-04-28 10:00:00,-756.6,130.2
B04,2026-04-28 10:00:00,-812.1,49.3
C01,2026-04-28 10:00:00,-710,76.8
C02,2026-04-28 10:00:00,-742,67
C03,2026-04-28 10:00:00,-771.3,135.1
C04,2026-04-28 10:00:00,-796.3,157.9
A01,2026-05-01 10:00:00,-724.3,68.3
A02,2026-05-01 10:00:00,-761,132.3
A03,2026-05-01 10:00:00,-702.2,156.8
A04,2026-05-01 10:00:00,-792.1,175.2
B01,2026-05-01 10:00:00,-686.2,173.3
B02,2026-05-01 10:00:00,-732.2,115.9
B03,2026-05-01 10:00:00,-760.5,101
B04,2026-05-01 10:00:00,-817.7,40.2
C01,2026-05-01 10:00:00,-711.8,91
C02,2026-05-01 10:00:00,-745.4,77.6
C03,2026-05-01 10:00:00,-775,181
C04,2026-05-01 10:00:00,-800.5,145.6
A01,2026-05-04 10:00:00,-726,80.8
A02,2026-05-04 10:00:00,-763.9,178.5
A03,2026-05-04 10:00:00,-705.4,144.4
A04,2026-05-04 10:00:00,-795.2,204.7
B01,2026-05-04 10:00:00,-687.3,116
B02,2026-05-04 10:00:00,-736.5,130.3
B03,2026-05-04 10:00:00,-764,42.1
B04,2026-05-04 10:00:00,-822.7,88.9
C01,2026-05-04 10:00:00,-714.3,60.4
C02,2026-05-04 10:00:00,-746.2,152.8
C03,2026-05-04 10:00:00,-779.1,148.9
C04,2026-05-04 10:00:00,-806.6,197.2
A01,2026-05-07 10:00:00,-729.4,151.7
A02,2026-05-07 10:00:00,-767.8,148.7
A03,2026-05-07 10:00:00,-705,189.5
A04,2026-05-07 10:00:00,-799.2,149.5
B01,2026-05-07 10:00:00,-690.6,126.3
B02,2026-05-07 10:00:00,-739.3,78.7
B03,2026-05-07 10:00:00,-766.6,61.4
B04,2026-05-07 10:00:00,-828.6,77.8
C01,2026-05-07 10:00:00,-718,103.4
C02,2026-05-07 10:00:00,-750.8,169.1
C03,2026-05-07 10:00:00,-783.1,163.8
C04,2026-05-07 10:00:00,-811.8,193.9
A01,2026-05-10 10:00:00,-730.5,168.1
A02,2026-05-10 10:00:00,-770.8,163.9
A03,2026-05-10 10:00:00,-708.1,190.5
A04,2026-05-10 10:00:00,-805.3,105.2
B01,2026-05-10 10:00:00,-691.9,114
B02,2026-05-10 10:00:00,-742,29.6
B03,2026-05-10 10:00:00,-768.7,93.2
B04,2026-05-10 10:00:00,-833.9,68.3
C01,2026-05-10 10:00:00,-720.1,171
C02,2026-05-10 10:00:00,-751.6,144.2
C03,2026-05-10 10:00:00,-788.2,206.8
C04,2026-05-10 10:00:00,-817.2,125.4
A01,2026-05-13 10:00:00,-733.5,140.1
A02,2026-05-13 10:00:00,-774.1,204.1
A03,2026-05-13 10:00:00,-709.7,121.8
A04,2026-05-13 10:00:00,-810.3,133.1
B01,2026-05-13 10:00:00,-694.1,53.2
B02,2026-05-13 10:00:00,-744.8,73.9
B03,2026-05-13 10:00:00,-771.9,72.5
B04,2026-05-13 10:00:00,-838,133.6
C01,2026-05-13 10:00:00,-721.1,158.2
C02,2026-05-13 10:00:00,-754.7,178.1
C03,2026-05-13 10:00:00,-789.5,168.6
C04,2026-05-13 10:00:00,-821.2,116.5
A01,2026-05-16 10:00:00,-734.6,181.7
A02,2026-05-16 10:00:00,-779,167.9
A03,2026-05-16 10:00:00,-712,114.3
A04,2026-05-16 10:00:00,-813.2,99.9
B01,2026-05-16 10:00:00,-694.6,47.5
B02,2026-05-16 10:00:00,-748.6,87.6
B03,2026-05-16 10:00:00,-776.5,83.8
B04,2026-05-16 10:00:00,-843.7,175.1
C01,2026-05-16 10:00:00,-723,145.5
C02,2026-05-16 10:00:00,-757.7,200.7
C03,2026-05-16 10:00:00,-793.8,108.5
C04,2026-05-16 10:00:00,-825.9,129.5
A01,2026-05-19 10:00:00,-736.6,206.3
A02,2026-05-19 10:00:00,-781,116.8
A03,2026-05-19 10:00:00,-713.8,125.7
A04,2026-05-19 10:00:00,-817.8,33.1
B01,2026-05-19 10:00:00,-697,86.2
B02,2026-05-19 10:00:00,-750.4,60.7
B03,2026-05-19 10:00:00,-778.1,156.3
B04,2026-05-19 10:00:00,-848.5,152.8
C01,2026-05-19 10:00:00,-724.3,191.1
C02,2026-05-19 10:00:00,-762.5,141.1
C03,2026-05-19 10:00:00,-797.5,126.7
C04,2026-05-19 10:00:00,-829.5,70.8
A01,2026-05-22 10:00:00,-740.9,148
A02,2026-05-22 10:00:00,-785.5,118.5
A03,2026-05-22 10:00:00,-715.4,68.8
A04,2026-05-22 10:00:00,-823.3,61.7
B01,2026-05-22 10:00:00,-698.8,84.8
B02,2026-05-22 10:00:00,-752.1,106.3
B03,2026-05-22 10:00:00,-783,175.5
B04,2026-05-22 10:00:00,-853.5,157.2
C01,2026-05-22 10:00:00,-727.9,192.7
C02,2026-05-22 10:00:00,-764.9,110.6
C03,2026-05-22 10:00:00,-802.2,118.8
C04,2026-05-22 10:00:00,-836.3,36
A01,2026-05-25 10:00:00,-741.5,107.5
A02,2026-05-25 10:00:00,-787.6,113
A03,2026-05-25 10:00:00,-717.8,38.8
A04,2026-05-25 10:00:00,-828.4,94.1
B01,2026-05-25 10:00:00,-699.2,67.2
B02,2026-05-25 10:00:00,-756,172.7
B03,2026-05-25 10:00:00,-786.7,148.4
B04,2026-05-25 10:00:00,-861.1,206.7
C01,2026-05-25 10:00:00,-728.8,122.1
C02,2026-05-25 10:00:00,-766.9,128.6
C03,2026-05-25 10:00:00,-805.4,50.3
C04,2026-05-25 10:00:00,-838.8,74.9
A01,2026-05-28 10:00:00,-746.2,130.5
A02,2026-05-28 10:00:00,-790.7,54.6
A03,2026-05-28 10:00:00,-717.9,75.3
A04,2026-05-28 10:00:00,-831.3,68.8
B01,2026-05-28 10:00:00,-699.6,129.2
B02,2026-05-28 10:00:00,-757.2,156.8
B03,2026-05-28 10:00:00,-787.7,183.3
B04,2026-05-28 10:00:00,-864.4,173.5
C01,2026-05-28 10:00:00,-730.9,120.4
C02,2026-05-28 10:00:00,-772,94.8
C03,2026-05-28 10:00:00,-810,41.3
C04,2026-05-28 10:00:00,-845.6,92.8
A01,2026-05-31 10:00:00,-747.1,98.5
A02,2026-05-31 10:00:00,-795.5,44.2
A03,2026-05-31 10:00:00,-720.5,89.4
A04,2026-05-31 10:00:00,-836.1,85.2
B01,2026-05-31 10:00:00,-703.1,175.9
B02,2026-05-31 10:00:00,-761.1,145.2
B03,2026-05-31 10:00:00,-792,203.5
B04,2026-05-31 10:00:00,-870.7,110.7
C01,2026-05-31 10:00:00,-733.2,126.3
C02,2026-05-31 10:00:00,-773.1,35.3
C03,2026-05-31 10:00:00,-812.9,95.2
C04,2026-05-31 10:00:00,-848.3,61.5
A01,2026-06-03 10:00:00,-749.1,38.4
A02,2026-06-03 10:00:00,-800,91.7
A03,2026-06-03 10:00:00,-722.3,59.3
A04,2026-06-03 10:00:00,-839.1,155.6
B01,2026-06-03 10:00:00,-703.1,145.5
B02,2026-06-03 10:00:00,-762.5,192.1
B03,2026-06-03 10:00:00,-797.1,144.1
B04,2026-06-03 10:00:00,-877.1,121.2
C01,2026-06-03 10:00:00,-735.3,66.7
C02,2026-06-03 10:00:00,-776.5,60.5
C03,2026-06-03 10:00:00,-817.1,81
C04,2026-06-03 10:00:00,-853.3,104.6
A01,2026-06-06 10:00:00,-751.3,60.1
A02,2026-06-06 10:00:00,-802.6,82.4
A03,2026-06-06 10:00:00,-722.6,104.3
A04,2026-06-06 10:00:00,-843.8,168.3
B01,2026-06-06 10:00:00,-704.3,166.4
B02,2026-06-06 10:00:00,-765.5,190
B03,2026-06-06 10:00:00,-800.2,109.4
B04,2026-06-06 10:00:00,-881.9,115.6
C01,2026-06-06 10:00:00,-738.3,38.1
C02,2026-06-06 10:00:00,-778.9,93.1
C03,2026-06-06 10:00:00,-822.8,71.4
C04,2026-06-06 10:00:00,-859.2,177.4
